datetime,library,opening_type,people_in,people_out
2020-01-01 14:00:00,North Finchley,SSO,0,0
2020-01-01 14:00:00,Osidge,SSO,0,0
2020-01-01 15:00:00,Chipping Barnet,staffed,0,0
2020-01-01 15:00:00,Colindale,staffed,0,0
2020-01-01 15:00:00,Edgware,SSO,0,0
2020-01-01 15:00:00,Finchley Church End,staffed,0,0
2020-01-01 15:00:00,Golders Green,SSO,0,0
2020-01-01 15:00:00,North Finchley,SSO,0,0
2020-01-01 15:00:00,Osidge,SSO,0,0
2020-01-01 16:00:00,Chipping Barnet,staffed,0,0
2020-01-01 16:00:00,Colindale,staffed,0,0
2020-01-01 16:00:00,Edgware,SSO,0,0
2020-01-01 16:00:00,Finchley Church End,staffed,0,0
2020-01-01 16:00:00,Golders Green,SSO,0,0
2020-01-01 16:00:00,North Finchley,SSO,0,0
2020-01-01 16:00:00,Osidge,SSO,0,0
2020-01-01 17:00:00,Chipping Barnet,staffed,0,0
2020-01-01 17:00:00,Colindale,SSO,0,0
2020-01-01 17:00:00,Edgware,SSO,0,0
2020-01-01 17:00:00,Finchley Church End,SSO,0,0
2020-01-01 17:00:00,Golders Green,SSO,0,0
2020-01-01 17:00:00,North Finchley,SSO,0,0
2020-01-01 17:00:00,Osidge,SSO,0,0
2020-01-01 18:00:00,Chipping Barnet,staffed,0,0
2020-01-01 18:00:00,Colindale,SSO,0,0
2020-01-01 18:00:00,Edgware,SSO,0,0
2020-01-01 18:00:00,Finchley Church End,SSO,0,0
2020-01-01 18:00:00,Golders Green,SSO,0,0
2020-01-01 18:00:00,North Finchley,SSO,0,0
2020-01-01 18:00:00,Osidge,SSO,0,0
2020-01-01 19:00:00,Chipping Barnet,staffed,0,0
2020-01-01 19:00:00,Colindale,SSO,0,0
2020-01-01 19:00:00,Edgware,SSO,0,0
2020-01-01 19:00:00,Finchley Church End,SSO,0,0
2020-01-01 19:00:00,Golders Green,SSO,0,0
2020-01-01 19:00:00,North Finchley,SSO,0,0
2020-01-01 19:00:00,Osidge,SSO,0,0
2020-01-01 20:00:00,Chipping Barnet,SSO,0,0
2020-01-01 20:00:00,Colindale,SSO,0,0
2020-01-01 20:00:00,Edgware,SSO,0,0
2020-01-01 20:00:00,Finchley Church End,SSO,0,0
2020-01-01 20:00:00,Golders Green,closed,0,0
2020-01-01 20:00:00,North Finchley,closed,0,0
2020-01-01 20:00:00,Osidge,closed,0,0
2020-01-01 21:00:00,Chipping Barnet,SSO,0,0
2020-01-01 21:00:00,Colindale,SSO,0,0
2020-01-01 21:00:00,Edgware,SSO,0,0
2020-01-01 21:00:00,Finchley Church End,SSO,0,0
2020-01-01 21:00:00,Golders Green,closed,0,0
2020-01-01 21:00:00,North Finchley,closed,0,0
2020-01-01 21:00:00,Osidge,closed,0,0
2020-01-01 22:00:00,Chipping Barnet,closed,0,0
2020-01-01 22:00:00,Colindale,closed,0,0
2020-01-01 22:00:00,Edgware,closed,0,0
2020-01-01 22:00:00,Finchley Church End,closed,0,0
2020-01-01 22:00:00,Golders Green,closed,0,0
2020-01-01 22:00:00,North Finchley,closed,0,0
2020-01-01 22:00:00,Osidge,closed,0,0
2020-01-01 23:00:00,Chipping Barnet,closed,0,0
2020-01-01 23:00:00,Colindale,closed,0,0
2020-01-01 23:00:00,Edgware,closed,0,0
2020-01-01 23:00:00,Finchley Church End,closed,0,0
2020-01-01 23:00:00,Golders Green,closed,0,0
2020-01-01 23:00:00,North Finchley,closed,0,0
2020-01-01 23:00:00,Osidge,closed,0,0
2020-01-02 00:00:00,Chipping Barnet,closed,0,0
2020-01-02 00:00:00,Colindale,closed,0,0
2020-01-02 00:00:00,Edgware,closed,0,0
2020-01-02 00:00:00,Finchley Church End,closed,0,0
2020-01-02 00:00:00,Golders Green,closed,0,0
2020-01-02 00:00:00,North Finchley,closed,0,0
2020-01-02 00:00:00,Osidge,closed,0,0
2020-01-02 01:00:00,Chipping Barnet,closed,0,0
2020-01-02 01:00:00,Colindale,closed,0,0
2020-01-02 01:00:00,Edgware,closed,0,0
2020-01-02 01:00:00,Finchley Church End,closed,0,0
2020-01-02 01:00:00,Golders Green,closed,0,0
2020-01-02 01:00:00,North Finchley,closed,0,0
2020-01-02 01:00:00,Osidge,closed,0,0
2020-01-02 02:00:00,Chipping Barnet,closed,0,0
2020-01-02 02:00:00,Colindale,closed,0,0
2020-01-02 02:00:00,Edgware,closed,0,0
2020-01-02 02:00:00,Finchley Church End,closed,0,0
2020-01-02 02:00:00,Golders Green,closed,0,0
2020-01-02 02:00:00,North Finchley,closed,0,0
2020-01-02 02:00:00,Osidge,closed,0,0
2020-01-02 03:00:00,Chipping Barnet,closed,0,0
2020-01-02 03:00:00,Colindale,closed,0,0
2020-01-02 03:00:00,Edgware,closed,0,0
2020-01-02 03:00:00,Finchley Church End,closed,0,0
2020-01-02 03:00:00,Golders Green,closed,0,0
2020-01-02 03:00:00,North Finchley,closed,0,0
2020-01-02 03:00:00,Osidge,closed,0,0
2020-01-02 04:00:00,Chipping Barnet,closed,0,0
2020-01-02 04:00:00,Colindale,closed,0,0
2020-01-02 04:00:00,Edgware,closed,0,0
2020-01-02 04:00:00,Finchley Church End,closed,0,0
2020-01-02 04:00:00,Golders Green,closed,0,0
2020-01-02 04:00:00,North Finchley,closed,0,0
2020-01-02 04:00:00,Osidge,closed,0,0
2020-01-02 05:00:00,Chipping Barnet,closed,0,0
2020-01-02 05:00:00,Colindale,closed,0,0
2020-01-02 05:00:00,Edgware,closed,0,0
2020-01-02 05:00:00,Finchley Church End,closed,0,0
2020-01-02 05:00:00,Golders Green,closed,0,0
2020-01-02 05:00:00,North Finchley,closed,0,0
2020-01-02 05:00:00,Osidge,closed,0,0
2020-01-02 06:00:00,Chipping Barnet,closed,0,0
2020-01-02 06:00:00,Colindale,closed,7,2
2020-01-02 06:00:00,Edgware,closed,0,0
2020-01-02 06:00:00,Finchley Church End,closed,0,0
2020-01-02 06:00:00,Golders Green,closed,0,0
2020-01-02 06:00:00,North Finchley,closed,0,0
2020-01-02 06:00:00,Osidge,closed,0,0
2020-01-02 07:00:00,Chipping Barnet,SSO,1,4
2020-01-02 07:00:00,Colindale,SSO,16,8
2020-01-02 07:00:00,Edgware,SSO,0,0
2020-01-02 07:00:00,Finchley Church End,SSO,0,0
2020-01-02 07:00:00,Golders Green,closed,0,0
2020-01-02 07:00:00,North Finchley,closed,0,0
2020-01-02 07:00:00,Osidge,closed,0,0
2020-01-02 08:00:00,Chipping Barnet,SSO,3,2
2020-01-02 08:00:00,Colindale,SSO,17,11
2020-01-02 08:00:00,Edgware,SSO,0,0
2020-01-02 08:00:00,Finchley Church End,SSO,0,0
2020-01-02 08:00:00,Golders Green,SSO,0,0
2020-01-02 08:00:00,North Finchley,SSO,0,0
2020-01-02 08:00:00,Osidge,SSO,2,12
2020-01-02 09:00:00,Chipping Barnet,SSO,7,17
2020-01-02 09:00:00,Colindale,staffed,16,14
2020-01-02 09:00:00,Edgware,SSO,0,0
2020-01-02 09:00:00,Finchley Church End,SSO,0,0
2020-01-02 09:00:00,Golders Green,SSO,0,0
2020-01-02 09:00:00,North Finchley,staffed,0,0
2020-01-02 09:00:00,Osidge,SSO,5,2
2020-01-02 10:00:00,Chipping Barnet,SSO,35,56
2020-01-02 10:00:00,Colindale,staffed,16,11
2020-01-02 10:00:00,Edgware,SSO,0,0
2020-01-02 10:00:00,Finchley Church End,SSO,0,0
2020-01-02 10:00:00,Golders Green,SSO,0,0
2020-01-02 10:00:00,North Finchley,staffed,0,0
2020-01-02 10:00:00,Osidge,SSO,11,10
2020-01-02 11:00:00,Chipping Barnet,SSO,5,7
2020-01-02 11:00:00,Colindale,staffed,32,29
2020-01-02 11:00:00,Edgware,SSO,0,0
2020-01-02 11:00:00,Finchley Church End,SSO,0,0
2020-01-02 11:00:00,Golders Green,SSO,0,0
