library,day,start,finish,opening_type
North Finchley,Tue,14:00:00,20:00:00,staffed
North Finchley,Thu,09:00:00,12:30:00,staffed
North Finchley,Fri,14:00:00,17:00:00,staffed
North Finchley,Sat,14:00:00,17:00:00,staffed
North Finchley,Mon,08:00:00,20:00:00,SSO
North Finchley,Tue,08:00:00,14:00:00,SSO
North Finchley,Wed,08:00:00,20:00:00,SSO
North Finchley,Thu,08:00:00,09:00:00,SSO
North Finchley,Fri,08:00:00,14:00:00,SSO
North Finchley,Sat,08:00:00,14:00:00,SSO
Osidge,Tue,14:00:00,20:00:00,staffed
Osidge,Wed,09:00:00,12:30:00,staffed
Osidge,Thu,14:00:00,17:00:00,staffed
Osidge,Sat,14:00:00,17:00:00,staffed
Osidge,Mon,08:00:00,20:00:00,SSO
Osidge,Tue,08:00:00,14:00:00,SSO
Osidge,Wed,08:00:00,09:00:00,SSO
Osidge,Thu,08:00:00,14:00:00,SSO
Osidge,Fri,08:00:00,20:00:00,SSO
Osidge,Sat,08:00:00,14:00:00,SSO
Osidge,Wed,12:30:00,20:00:00,SSO
South Friern,Tue,14:00:00,20:00:00,staffed
South Friern,Wed,10:00:00,17:30:00,staffed
South Friern,Thu,10:00:00,17:30:00,staffed
South Friern,Sat,14:00:00,17:00:00,staffed
North Finchley,Thu,12:30:00,20:00:00,SSO
North Finchley,Fri,17:00:00,20:00:00,SSO
East Finchley,Thu,17:00:00,20:00:00,SSO
Osidge,Thu,17:00:00,20:00:00,SSO
